material_number,customer_description,manufacturer,confidence,cand1_code,cand1_score,cand1_desc,cand2_code,cand2_score,cand2_desc,cand3_code,cand3_score,cand3_desc,cand4_code,cand4_score,cand4_desc,cand5_code,cand5_score,cand5_desc
10052631,"BAG,SCAFFOLD,100KG",Sparrows Services Australia Pty Ltd,low,WL-100-C-250M,43.2,Sisal Rope,WL-120-C-250M,37.8,Sisal Rope,WL-140-C-250M,37.8,Sisal Rope,WL-160-C-250M,37.8,Sisal Rope,WL-180-C-250M,37.8,Sisal Rope
10052652,"HOIST,LIFT,LEVER,0.8T,C/W O/L LIMITER",KITO ARMATUREN / VITAL INDUSTRIES,medium,WRB-0050-M10-CP-RLP,66.8,Learn More,WEB-0030-M08-R-VRSF,65.3,VRBS Weld-on Eye Plate,WEB-0040-M10-R-VRSF,64.8,VRBS Weld-on Eye Plate,WRB-0063-M08-CP-VLBGP,64.8,VRBS Weld-on Eye Plate,WRB-0090-M10-CP-VLBGP,64.8,VRBS Weld-on Eye Plate
10052653,"HOIST,LIFT,LEVER,1.6T,C/W O/L LIMITER",KITO ARMATUREN / VITAL INDUSTRIES,medium,WRL-0160-FW-T-DPLP,67.4,Weld-on Pad Eyes - DPLP,WEN-200-M-250P-S,64.7,Eyenuts - Metric - Grade 4,WRB-0180-M16-LB-DLP,64.7,Learn More,WEB-200-M-250P-S-WLL,64.2,Eyebolts - Metric - Grade 4,WEB-190-B-S-WLL,63.2,Eyebolts - Imperial - Grade 4
10052654,"HOIST,LIFT,LEVER,3.2T,C/W O/L LIMITER",KITO ARMATUREN / VITAL INDUSTRIES,medium,WMAL-100-G-SKO,69.0,Master Link SKO - Open,WMAL-100-G-SKG,67.5,Master Link SKG - Closed,WTB-T-200-EE-G-GDES,62.8,,WTB-T-200-JE-G-GDES,62.8,,WTB-T-200-JJ-G-GDES,62.8,
10052660,"DRUM,LIFTER,WEBBING RATCHET",SPANSET,low,WLDB-100-R-GH-G100,53.3,Load Binders - Ratchet,WLDB-130-R-GH-G100,53.3,Load Binders - Ratchet,WMAG-092-0100-BV,52.5,Magnetic Lifters,WMAG-166-0300-BV,52.5,Magnetic Lifters,WMAG-228-0600-BV,52.5,Magnetic Lifters
10052663,"BLOCK,SNATCH,8T,200MM",CROSBY VALVES,high,WSNB-08T-275-S-BS-BV,90.7,Snatch Block with Shackle Head,WSNB-0640-203-WR-SB-C,75.3,Snatch Blocks,WSNB-02T-115-S-BS-BV,72.7,Snatch Block with Shackle Head,WSNB-04T-210-S-BS-BV,72.7,Snatch Block with Shackle Head,WSNB-06T-275-S-BS-BV,72.7,Snatch Block with Shackle Head
10052664,"BLOCK,SNATCH,4T,4.5IN",CROSBY VALVES,high,WSNB-04T-210-S-BS-BV,98.0,Snatch Block with Shackle Head,WSNB-0320-114-WR-SB-C,73.2,Snatch Blocks,WSNB-02T-115-S-BS-BV,72.7,Snatch Block with Shackle Head,WSNB-06T-275-S-BS-BV,72.7,Snatch Block with Shackle Head,WSNB-08T-275-S-BS-BV,72.7,Snatch Block with Shackle Head
10052665,"BLOCK,SNATCH,8T,6IN",CROSBY VALVES,high,WSNB-08T-275-S-BS-BV,95.4,Snatch Block with Shackle Head,WSNB-02T-115-S-BS-BV,77.4,Snatch Block with Shackle Head,WSNB-04T-210-S-BS-BV,77.4,Snatch Block with Shackle Head,WSNB-06T-275-S-BS-BV,77.4,Snatch Block with Shackle Head,WSNB-10T-250-S-BS-BV,77.4,Snatch Block with Shackle Head
10052667,"SLING,CHAIN,2 LEGGED,10MM,5.5T X 2M",GUNNEBO,high,WMAL-10/08-G-MFX,87.5,Master Links - Type MFX,WCUP-RS-130-G-SKR,82.2,Round Sling Connector SKR,WSLH-CP-130-G-SKN,82.2,Sling Hook SKN - Grade 80,WBBS-130-G-SKLIASSY,77.5,Swivel Assembly - Grade 80,WHFL-130-G-SKT,77.0,Half Link SKT - Grade 80
10052668,"SLING,CHAIN,2 LEGGED,10MM,5.5T X 5M",GUNNEBO,high,WMAL-10/08-G-MFX,87.5,Master Links - Type MFX,WCUP-RS-130-G-SKR,82.2,Round Sling Connector SKR,WSLH-CP-130-G-SKN,82.2,Sling Hook SKN - Grade 80,WBBS-130-G-SKLIASSY,77.5,Swivel Assembly - Grade 80,WHFL-130-G-SKT,77.0,Half Link SKT - Grade 80
10052669,"SLING,CHAIN,4 LEGGED,10MM,5.5T X 6M",GUNNEBO,high,WCUP-RS-130-G-SKR,88.0,Round Sling Connector SKR,WSLH-CP-130-G-SKN,88.0,Sling Hook SKN - Grade 80,WMAL-10/08-G-MFX,85.5,Master Links - Type MFX,WBBS-130-G-SKLIASSY,79.5,Swivel Assembly - Grade 80,WHFL-130-G-SKT,77.0,Half Link SKT - Grade 80
10052671,"RING,LIFTING,13MM,GR80,MULTI OB LINK",PWB ANCHOR,medium,WMAL-9T-C-A1343,66.8,Lifting Chain & Fittings,WVSC-130-IMVK,66.0,Multi Shortening Claw - IMVK - ICE 120,WMAL-15T-C-A1346,66.0,Lifting Chain & Fittings,WCS-13-4-020-BVE,65.6,,WCS-13-4-030-BVE,65.6,
10052674,"LOAD RING,0.3T,C/W M8 BOLT",RUD,medium,WRSL-003-M08-WBGV-12,79.4,VWBG-V Swivel Lifting Ring,WRL-0080-NS-R-ABA,76.7,W-ABA Weld-on Load Ring,WRL-0500-NS-R-ABA,76.7,W-ABA Weld-on Load Ring,WRL-0100-NS-R-GABA,69.5,G-ABA Weld-on Load Ring for Galvanising,WRL-0160-NS-R-ABA,69.5,W-ABA Weld-on Load Ring
10052675,"LOAD RING,0.63T,C/W M10 BOLT",RUD,high,WRL-0080-NS-R-ABA,91.4,W-ABA Weld-on Load Ring,WRSL-004-M10-WBGV-45,80.6,VWBG-V Swivel Lifting Ring,WRL-0500-NS-R-ABA,73.4,W-ABA Weld-on Load Ring,WRSL-006-M12-WBGV-21,70.4,VWBG-V Swivel Lifting Ring,WRB-0050-M10-CP-RLP,67.3,Learn More
10052676,"LOAD RING,1T,C/W M12 BOLT",RUD,high,WRL-0080-NS-R-ABA,89.1,W-ABA Weld-on Load Ring,WRL-0100-NS-R-GABA,80.9,G-ABA Weld-on Load Ring for Galvanising,WRL-0160-NS-R-ABA,71.1,W-ABA Weld-on Load Ring,WRL-0320-NS-R-ABA,71.1,W-ABA Weld-on Load Ring,WRL-0500-NS-R-ABA,71.1,W-ABA Weld-on Load Ring
10052678,"LOAD RING,2.5T,C/W M20 BOLT",RUD,high,WRL-0250-NS-R-GABA,85.9,G-ABA Weld-on Load Ring for Galvanising,WRL-0250-NS-R-VLBS,85.9,VLBS Weld-on Load Ring,WRL-0320-NS-R-ABA,75.0,W-ABA Weld-on Load Ring,WMAL-060-R-IAKRG4,69.3,,WRL-0080-NS-R-ABA,67.9,W-ABA Weld-on Load Ring
10052679,"LOAD RING,4T,C/W M24 BOLT",RUD / EXO INTERNATIONAL,high,WRL-0400-NS-R-GABA,80.9,G-ABA Weld-on Load Ring for Galvanising,WRL-0400-NS-R-VLBS,80.9,VLBS Weld-on Load Ring,WRL-0080-NS-R-ABA,71.1,W-ABA Weld-on Load Ring,WRL-0160-NS-R-ABA,71.1,W-ABA Weld-on Load Ring,WRL-0320-NS-R-ABA,71.1,W-ABA Weld-on Load Ring
10052680,"EYEBOLT,VRS-M16,1500KG,STARPOINT",RUD,medium,WEN-0150-M16-VRM,67.8,VRM Starpoint Eye Nut - Metric Coarse Thread,WEN-0010-M6-VRM,53.9,VRM Starpoint Eye Nut - Metric Coarse Thread,WEN-0030-M8-VRM,53.9,VRM Starpoint Eye Nut - Metric Coarse Thread,WEN-0040-M10-VRM,53.9,VRM Starpoint Eye Nut - Metric Coarse Thread,WEN-0075-M12-VRM,53.9,VRM Starpoint Eye Nut - Metric Coarse Thread
10052682,"LOAD RING,1T,1/2IN UNC BOLT",RUD,high,WRL-0100-NS-R-GABA,85.9,G-ABA Weld-on Load Ring for Galvanising,WRL-0080-NS-R-ABA,78.0,W-ABA Weld-on Load Ring,WCIC-040R,69.8,Chain - ICE 120,WTB-T-127-JJ-G-12INT,68.0,Turnbuckles,WRL-0150-NS-R-VLBS,67.9,VLBS Weld-on Load Ring
10052683,"LOAD RING,1.5T,5/8IN UNC BOLT",RUD,high,WRL-0150-NS-R-VLBS,89.9,VLBS Weld-on Load Ring,WRL-0160-NS-R-ABA,83.0,W-ABA Weld-on Load Ring,WTB-T-158-JJ-G-12INT,68.0,Turnbuckles,WMAL-040-R-IML,67.0,4mm MINI Range - ICE 120,WRSL-013-M16-WBGV-30,65.2,VWBG-V Swivel Lifting Ring
10052684,"LOAD RING,2.5T,3/4IN UNC BOLT",RUD,high,WRL-0250-NS-R-GABA,83.0,G-ABA Weld-on Load Ring for Galvanising,WRL-0250-NS-R-VLBS,83.0,VLBS Weld-on Load Ring,WMAL-060-R-IAKRG4,77.2,,WRL-0320-NS-R-ABA,71.9,W-ABA Weld-on Load Ring,WMAL-060-R-IAKRG2,69.4,Safety Heat Indicator
10052685,"LOAD RING,2.5T,7/8IN UNC BOLT",RUD,high,WRL-0250-NS-R-GABA,83.0,G-ABA Weld-on Load Ring for Galvanising,WRL-0250-NS-R-VLBS,83.0,VLBS Weld-on Load Ring,WMAL-060-R-IAKRG4,77.2,,WMAL-060-R-IAKRG2,69.4,Safety Heat Indicator,WRL-0250-NS-T-BUL,68.0,Weld-on Load Rings - Grade 100
10052686,"LOAD RING,4T,1IN UNC BOLT",RUD,high,WRL-0400-NS-R-GABA,80.9,G-ABA Weld-on Load Ring for Galvanising,WRL-0400-NS-R-VLBS,80.9,VLBS Weld-on Load Ring,WRS-040-010-E,65.1,Round Slings,WRS-040-015-E,65.1,Round Slings,WRS-040-020-E,65.1,Round Slings
10052687,"LOAD RING,5T,1-1/4IN UNC BOLT",RUD,medium,WRL-0500-NS-R-ABA,78.0,W-ABA Weld-on Load Ring,WMAL-080-R-IAKRG4,73.9,,WCIC-100R,69.2,Chain - ICE 120,WRL-0100-NS-R-GABA,67.9,G-ABA Weld-on Load Ring for Galvanising,WRL-0150-NS-R-VLBS,67.9,VLBS Weld-on Load Ring
10052688,"SHACKLE,BOW,10MM X 1T,SCREW PIN",Sparrows Services Australia Pty Ltd / VAN BEEST,medium,WSS-0010-SA-B-GP,74.3,Screw Dee Shackles - Grade M,WSS-0010-SC-B,65.6,Screw Bow Shackles - Alloy Grade S - Galvanised,WRS-010-005-E,63.6,Round Slings,WRS-010-007-E,63.6,Round Slings,WRS-010-010-E,63.6,Round Slings
10052689,"SHACKLE,BOW,13.5MM X 2T,SCREW PIN",VAN BEEST / Sparrows Services Australia Pty Ltd / SAFESPEAR PTY LTD,medium,WSS-0020-SA-B-GP,75.3,Screw Dee Shackles - Grade M,WSS-0020-SC-B,64.7,Screw Bow Shackles - Alloy Grade S - Galvanised,WSS-0135-SA-B-GP,63.3,Screw Dee Shackles - Grade M,WSNB-02T-115-S-BS-BV,62.9,Snatch Block with Shackle Head,S1523034,62.2,Spreader Beams
10052690,"SHACKLE,BOW,16MM X 3.25T,SCREW PIN",Sparrows Services Australia Pty Ltd / SAFESPEAR PTY LTD / VAN BEEST,medium,WSS-0032-SA-B-GP,76.9,Screw Dee Shackles - Grade M,WSS-0032-SC-B,66.9,Screw Bow Shackles - Alloy Grade S - Galvanised,WTB-T-222-JJ-G-12INT,62.2,Turnbuckles,WMAL-060-R-IAKRG4,60.9,,WSS-0032-SC-D,60.6,Screw Dee Shackles - Alloy Grade S - Galvanised
10052691,"SHACKLE,BOW,19MM X 4.75T,SCREW PIN",SAFESPEAR PTY LTD / Sparrows Services Australia Pty Ltd / VAN BEEST,medium,WSS-0047-SA-B-GP,76.9,Screw Dee Shackles - Grade M,WSS-0047-SC-B,66.9,Screw Bow Shackles - Alloy Grade S - Galvanised,WTB-T-254-JJ-G-12INT,63.2,Turnbuckles,WSS-0047-SC-D,60.6,Screw Dee Shackles - Alloy Grade S - Galvanised,WSS-0047-SA-B,60.2,Safety Bow Shackles - Alloy Grade S - Galvanised
10052692,"SHACKLE,BOW,22MM X 6.5T,SCREW PIN",SAFESPEAR PTY LTD / Sparrows Services Australia Pty Ltd / VAN BEEST,medium,WSS-0065-SA-B-GP,78.0,Screw Dee Shackles - Grade M,WSS-0065-SC-B,68.0,Screw Bow Shackles - Alloy Grade S - Galvanised,WSS-0065-SC-D,61.0,Screw Dee Shackles - Alloy Grade S - Galvanised,WG60-WOX-160,60.7,Chain - INOX Stainless Steel - Grade 60,WSS-0065-SA-B,60.6,Safety Bow Shackles - Alloy Grade S - Galvanised
10052693,"SHACKLE,BOW,25MM X 8.5T,SCREW PIN",SAFESPEAR PTY LTD / Sparrows Services Australia Pty Ltd / VAN BEEST,medium,WSS-0085-SA-B-GP,78.0,Screw Dee Shackles - Grade M,WSS-0085-SC-B,68.5,Screw Bow Shackles - Alloy Grade S - Galvanised,WSS-0085-SA-B,62.4,Safety Bow Shackles - Alloy Grade S - Galvanised,WSS-0085-SC-D,61.0,Screw Dee Shackles - Alloy Grade S - Galvanised,WG60-AWI-260,60.0,Master Link - INOX Stainless Steel - Grade 60
10052694,"SHACKLE,BOW,29MM X 9.5T,SCREW PIN",VAN BEEST,medium,WSS-0095-SA-B-GP,78.0,Screw Dee Shackles - Grade M,WSS-0095-SC-B,68.0,Screw Bow Shackles - Alloy Grade S - Galvanised,WSS-0095-SC-D,61.0,Screw Dee Shackles - Alloy Grade S - Galvanised,WSS-0095-SA-B,60.6,Safety Bow Shackles - Alloy Grade S - Galvanised,WSS-0120-SA-B-GP,55.9,Screw Dee Shackles - Grade M
10052695,"SHACKLE,BOW,44MM X 17T,SCREW PIN",VAN BEEST,medium,WSS-0170-SA-B-GP,76.1,Screw Dee Shackles - Grade M,WSS-0170-SC-B,65.6,Screw Bow Shackles - Alloy Grade S - Galvanised,WSS-0170-SC-D,59.9,Screw Dee Shackles - Alloy Grade S - Galvanised,WSS-0170-SA-B,59.5,Safety Bow Shackles - Alloy Grade S - Galvanised,WSS-0120-SA-B-GP,56.3,Screw Dee Shackles - Grade M
10052697,"SHACKLE,BOW,13.5MM X 2T,SAFETY BOLT",Sparrows Services Australia Pty Ltd / SAFESPEAR PTY LTD / VAN BEEST,medium,WSS-0020-SA-B-GP,65.5,Screw Dee Shackles - Grade M,WSS-0020-SA-B,65.3,Safety Bow Shackles - Alloy Grade S - Galvanised,S1538011,62.4,Pallet Lifting Fork,WSNB-02T-115-S-BS-BV,62.0,Snatch Block with Shackle Head,WSS-0020-SC-B,60.2,Screw Bow Shackles - Alloy Grade S - Galvanised
10052698,"SHACKLE,BOW,16MM X 3.25T,SAFETY BOLT",SAFESPEAR PTY LTD / VAN BEEST / Sparrows Services Australia Pty Ltd,medium,WSS-0032-SA-B,68.0,Safety Bow Shackles - Alloy Grade S - Galvanised,WSS-0032-SA-B-GP,66.6,Screw Dee Shackles - Grade M,WMAL-060-R-IAKRG2,64.8,Safety Heat Indicator,WSS-0032-SC-B,59.8,Screw Bow Shackles - Alloy Grade S - Galvanised,WSS-0032-SA-D,59.4,Safety Dee Shackles - Alloy Grade S - Galvanised
10052699,"SHACKLE,BOW,19MM X 4.75T,SAFETY BOLT",VAN BEEST / SAFESPEAR PTY LTD / Sparrows Services Australia Pty Ltd,medium,WSS-0047-SA-B,68.0,Safety Bow Shackles - Alloy Grade S - Galvanised,WSS-0047-SA-B-GP,66.6,Screw Dee Shackles - Grade M,WTB-T-254-JJ-G-12INT,59.9,Turnbuckles,WSS-0047-SC-B,59.8,Screw Bow Shackles - Alloy Grade S - Galvanised,WSS-0047-SA-D,59.4,Safety Dee Shackles - Alloy Grade S - Galvanised
10052700,"SHACKLE,BOW,22MM X 6.5T,SAFETY BOLT",VAN BEEST / SAFESPEAR PTY LTD / Sparrows Services Australia Pty Ltd,medium,WSS-0065-SA-B,69.1,Safety Bow Shackles - Alloy Grade S - Galvanised,WSS-0065-SA-B-GP,65.5,Screw Dee Shackles - Grade M,WSS-0065-SC-B,60.2,Screw Bow Shackles - Alloy Grade S - Galvanised,WSS-0065-SA-D,59.8,Safety Dee Shackles - Alloy Grade S - Galvanised,WSS-0065-SC-D,54.7,Screw Dee Shackles - Alloy Grade S - Galvanised
10052701,"SHACKLE,BOW,25MM X 8.5T,SAFETY BOLT",VAN BEEST / Sparrows Services Australia Pty Ltd,medium,WSS-0085-SA-B,69.1,Safety Bow Shackles - Alloy Grade S - Galvanised,WSS-0085-SA-B-GP,67.3,Screw Dee Shackles - Grade M,WSS-0085-SC-B,62.0,Screw Bow Shackles - Alloy Grade S - Galvanised,WSS-0085-SA-D,61.6,Safety Dee Shackles - Alloy Grade S - Galvanised,WMAL-100-R-IAKRG2,59.3,Safety Heat Indicator
10052702,"SHACKLE,BOW,32MM X 12T,SAFETY BOLT",VAN BEEST / Sparrows Services Australia Pty Ltd / SAFESPEAR PTY LTD,medium,WSS-0120-SA-B-GP,66.2,Screw Dee Shackles - Grade M,WSS-0120-SA-B,66.1,Safety Bow Shackles - Alloy Grade S - Galvanised,WSNB-12T-395-S-BS-BV,64.9,Snatch Block with Shackle Head,WSS-0120-SC-B,61.0,Screw Bow Shackles - Alloy Grade S - Galvanised,WSS-0120-SA-D,60.6,Safety Dee Shackles - Alloy Grade S - Galvanised
10052703,"SHACKLE,BOW,35MM X 13.5T,SAFETY BOLT",VAN BEEST / SAFESPEAR PTY LTD / Sparrows Services Australia Pty Ltd,medium,WSS-0135-SA-B,71.1,Safety Bow Shackles - Alloy Grade S - Galvanised,WSS-0135-SA-B-GP,68.4,Screw Dee Shackles - Grade M,WSS-0135-SC-B,63.0,Screw Bow Shackles - Alloy Grade S - Galvanised,WSS-0135-SA-D,62.6,Safety Dee Shackles - Alloy Grade S - Galvanised,WMAL-130-R-IAKRG2,60.6,Safety Heat Indicator
10052704,"SHACKLE,BOW,38MM X 17T,SAFETY BOLT",SAFESPEAR PTY LTD / Sparrows Services Australia Pty Ltd / VAN BEEST,medium,WSS-0170-SA-B-GP,66.2,Screw Dee Shackles - Grade M,WSS-0170-SA-B,66.1,Safety Bow Shackles - Alloy Grade S - Galvanised,WSS-0170-SC-B,61.0,Screw Bow Shackles - Alloy Grade S - Galvanised,WSS-0170-SA-D,60.6,Safety Dee Shackles - Alloy Grade S - Galvanised,WMAL-160-R-IAKRG2,58.9,Safety Heat Indicator
10052709,"SLING,WIRE ROPE,1.8T X 2M",ANDROMEDA,medium,WTB-T-158-JJ-G-12INT,70.6,Turnbuckles,WRS-020-005-E,69.0,Round Slings,WRS-020-007-E,69.0,Round Slings,WRS-020-010-E,69.0,Round Slings,WRS-020-015-E,69.0,Round Slings
10052710,"SLING,WIRE ROPE,1.8T X 3M",ANDROMEDA,medium,WTB-T-158-JJ-G-12INT,68.0,Turnbuckles,W0130NBDA,67.9,"Wire Rope, Strand & Fittings",W0130NBDC,67.9,"Wire Rope, Strand & Fittings",W0130NI3A,67.9,"Wire Rope, Strand & Fittings",WSFS-080-060,66.7,"Wire Rope, Strand & Fittings"
10052711,"SLING,WIRE ROPE,2.4T X 2M",ANDROMEDA,medium,WTB-T-190-JJ-G-12INT,69.9,Turnbuckles,W0220QSEB,67.9,"Wire Rope, Strand & Fittings",W0220NA3A,67.9,"Wire Rope, Strand & Fittings",W0220NA3C,67.9,"Wire Rope, Strand & Fittings",W0220NRDA,67.9,"Wire Rope, Strand & Fittings"
10052712,"SLING,WIRE ROPE,2.4T X 3M",ANDROMEDA,medium,WTB-T-190-JJ-G-12INT,69.9,Turnbuckles,W0230QSEB,67.9,"Wire Rope, Strand & Fittings",WTB-T-200-EE-G-GDEP,65.3,,WTB-T-200-JE-G-GDEP,65.3,,WTB-T-200-JJ-G-GDEP,65.3,
10052713,"SLING,WIRE ROPE,3T X 3M",ANDROMEDA,medium,WRS-030-005-E,71.1,Round Slings,WRS-030-010-E,71.1,Round Slings,WRS-030-015-E,71.1,Round Slings,WRS-030-020-E,71.1,Round Slings,WRS-030-025-E,71.1,Round Slings
10052714,"SLING,SYN,RD,1T X 1M,POLY,VIOLET",SLINGDR,medium,WRS-010-005-E,76.6,Round Slings,WRS-010-007-E,76.6,Round Slings,WRS-010-010-E,76.6,Round Slings,WRS-010-015-E,76.6,Round Slings,WRS-010-020-E,76.6,Round Slings
10052715,"SLING,SYN,RD,1T X 2M,POLY,VIOLET",SLINGDR,medium,WRS-010-005-E,73.2,Round Slings,WRS-010-007-E,73.2,Round Slings,WRS-010-010-E,73.2,Round Slings,WRS-010-015-E,73.2,Round Slings,WRS-010-020-E,73.2,Round Slings
10052716,"SLING,SYN,RD,1T X 3M",SLINGDR,medium,WRS-010-005-E,78.9,Round Slings,WRS-010-007-E,78.9,Round Slings,WRS-010-010-E,78.9,Round Slings,WRS-010-015-E,78.9,Round Slings,WRS-010-020-E,78.9,Round Slings
10052717,"SLING,SYN,RD,1T X 4M",SLINGDR,medium,WRS-010-005-E,78.9,Round Slings,WRS-010-007-E,78.9,Round Slings,WRS-010-010-E,78.9,Round Slings,WRS-010-015-E,78.9,Round Slings,WRS-010-020-E,78.9,Round Slings
